Date : 2024-03-06 19:51:57
Directory : c:\Users\kukohfr\Desktop\webdesa
Total : 352 files,  121897 codes, 8974 comments, 21133 blanks, all 152004 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| public\assets\libs\ion-rangeslider                                                                      |          2 |        671 |          6 |          1 |        678 |
| public\assets\libs\jquery-knob                                                                          |          1 |          1 |          0 |          0 |          1 |
| public\assets\libs\jquery-mask-plugin                                                                   |          1 |         17 |          2 |          1 |         20 |
| public\assets\libs\jquery-sparkline                                                                     |          1 |          2 |          0 |          1 |          3 |
| public\assets\libs\jquery-steps                                                                         |          1 |          1 |          5 |          0 |          6 |
| public\assets\libs\jquery-toast                                                                         |          2 |          2 |          0 |          0 |          2 |
| public\assets\libs\jquery-ui                                                                            |          1 |          8 |          4 |          1 |         13 |
| public\assets\libs\jqvmap                                                                               |          7 |          7 |         17 |          6 |         30 |
| public\assets\libs\moment                                                                               |          1 |          1 |          0 |          0 |          1 |
| public\assets\libs\parsleyjs                                                                            |          1 |          3 |         15 |          1 |         19 |
| public\assets\libs\rwd-table                                                                            |          2 |          2 |         12 |          0 |         14 |
| public\assets\libs\select2                                                                              |          2 |          2 |          0 |          1 |          3 |
| public\assets\libs\summernote                                                                           |          2 |          2 |          1 |          1 |          4 |
| public\assets\libs\sweetalert2                                                                          |          2 |          2 |          0 |          0 |          2 |
| public\assets\libs\switchery                                                                            |          2 |          2 |          0 |          0 |          2 |
| public\assetz                                                                                           |         68 |     32,255 |      1,788 |      3,624 |     37,667 |
| public\assetz\css                                                                                       |         12 |     20,092 |      1,048 |      2,950 |     24,090 |
| public\assetz\fonts                                                                                     |          8 |      6,045 |         19 |         10 |      6,074 |
| public\assetz\js                                                                                        |         24 |      1,453 |        405 |        208 |      2,066 |
| public\assetz\js (Files)                                                                                |         22 |      1,448 |        402 |        207 |      2,057 |
| public\assetz\js\vendor                                                                                 |          2 |          5 |          3 |          1 |          9 |
| public\assetz\scss                                                                                      |         24 |      4,665 |        316 |        456 |      5,437 |
| resources                                                                                               |         47 |      5,213 |         80 |      1,981 |      7,274 |
| resources\js                                                                                            |          2 |          4 |         18 |          9 |         31 |
| resources\lang                                                                                          |          4 |        131 |         60 |         24 |        215 |
| resources\lang\en                                                                                       |          4 |        131 |         60 |         24 |        215 |
| resources\sass                                                                                          |          1 |          0 |          1 |          1 |          2 |
| resources\views                                                                                         |         40 |      5,078 |          1 |      1,947 |      7,026 |
| resources\views (Files)                                                                                 |          2 |        199 |          0 |        187 |        386 |
| resources\views\admin                                                                                   |         22 |      2,985 |          1 |      1,485 |      4,471 |
| resources\views\admin\auth                                                                              |          2 |        122 |          0 |        156 |        278 |
| resources\views\admin\berita                                                                            |          2 |        242 |          0 |        113 |        355 |
| resources\views\admin\danadesa                                                                          |          1 |         48 |          0 |          6 |         54 |
| resources\views\admin\dashboard                                                                         |          1 |         43 |          0 |          3 |         46 |
| resources\views\admin\galery                                                                            |          1 |        152 |          0 |         88 |        240 |
| resources\views\admin\grafik                                                                            |          1 |        158 |          0 |        113 |        271 |
| resources\views\admin\pemasukan                                                                         |          2 |        289 |          0 |        129 |        418 |
| resources\views\admin\penduduk                                                                          |          1 |        279 |          0 |        144 |        423 |
| resources\views\admin\pengeluaran                                                                       |          3 |        388 |          0 |        148 |        536 |
| resources\views\admin\potensi                                                                           |          1 |        176 |          1 |         74 |        251 |
| resources\views\admin\quetes                                                                            |          1 |        157 |          0 |         69 |        226 |
| resources\views\admin\slider                                                                            |          1 |        186 |          0 |         74 |        260 |
| resources\views\admin\structur                                                                          |          1 |        197 |          0 |         75 |        272 |
| resources\views\admin\user                                                                              |          2 |        215 |          0 |        130 |        345 |
| resources\views\admin\web                                                                               |          2 |        333 |          0 |        163 |        496 |
| resources\views\layouts                                                                                 |          2 |        590 |          0 |        142 |        732 |
| resources\views\ui                                                                                      |         14 |      1,304 |          0 |        133 |      1,437 |
| resources\views\ui (Files)                                                                              |          2 |        219 |          0 |         21 |        240 |
| resources\views\ui\berita                                                                               |          2 |        328 |          0 |         36 |        364 |
| resources\views\ui\galery                                                                               |          1 |         39 |          0 |          6 |         45 |
| resources\views\ui\grafik                                                                               |          4 |        360 |          0 |         24 |        384 |
| resources\views\ui\potensi                                                                              |          2 |        208 |          0 |         26 |        234 |
| resources\views\ui\sejarah                                                                              |          2 |         80 |          0 |          8 |         88 |
| resources\views\ui\struktur                                                                             |          1 |         70 |          0 |         12 |         82 |
| routes                                                                                                  |          4 |         65 |         53 |         38 |        156 |
| tests                                                                                                   |          4 |         41 |         15 |         19 |         75 |
| tests (Files)                                                                                           |          2 |         19 |          5 |         10 |         34 |
| tests\Feature                                                                                           |          1 |         12 |          5 |          5 |         22 |
| tests\Unit                                                                                              |          1 |         10 |          5 |          4 |         19 |
| vendor                                                                                                  |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie                                                                                           |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition                                                                                  |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources                                                                        |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources\compiled                                                               |          2 |          7 |          2 |          1 |         10 |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\kukohfr\Desktop\webdesa\.styleci.yml                                                           | YAML       |         13 |          0 |          1 |         14 |
| c:\Users\kukohfr\Desktop\webdesa\README.md                                                              | Markdown   |         59 |          0 |         20 |         79 |
| c:\Users\kukohfr\Desktop\webdesa\app\Brita.php                                                          | PHP        |          8 |          0 |          5 |         13 |
| c:\Users\kukohfr\Desktop\webdesa\app\Console\Kernel.php                                                 | PHP        |         17 |         19 |          7 |         43 |
| c:\Users\kukohfr\Desktop\webdesa\app\Dandes.php                                                         | PHP        |          8 |          0 |          4 |         12 |
| c:\Users\kukohfr\Desktop\webdesa\app\Exceptions\Handler.php                                             | PHP        |         17 |          9 |          5 |         31 |
| c:\Users\kukohfr\Desktop\webdesa\app\Galery.php                                                         | PHP        |          7 |          0 |          4 |         11 |
| c:\Users\kukohfr\Desktop\webdesa\app\Grafik.php                                                         | PHP        |          8 |          0 |          4 |         12 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Controllers\Auth\ConfirmPasswordController.php                | PHP        |         14 |         20 |          7 |         41 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Controllers\Auth\ForgotPasswordController.php                 | PHP        |          8 |         10 |          5 |         23 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Controllers\Auth\LoginController.php                          | PHP        |         14 |         20 |          7 |         41 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Controllers\Auth\RegisterController.php                       | PHP        |         33 |         32 |          9 |         74 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Controllers\Auth\ResetPasswordController.php                  | PHP        |         10 |         15 |          6 |         31 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Controllers\Auth\VerificationController.php                   | PHP        |         16 |         20 |          7 |         43 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Controllers\BritaController.php                               | PHP        |        120 |          3 |         65 |        188 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Controllers\Controller.php                                    | PHP        |         10 |          0 |          4 |         14 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Controllers\DanadesaContrroller.php                           | PHP        |         23 |         20 |         17 |         60 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Controllers\DasboardContrroller.php                           | PHP        |         14 |          0 |          6 |         20 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Controllers\GaleryController.php                              | PHP        |         54 |          3 |         36 |         93 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Controllers\GrafikController.php                              | PHP        |         52 |          3 |         37 |         92 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Controllers\KeuanganController.php                            | PHP        |        117 |         25 |         60 |        202 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Controllers\PageController.php                                | PHP        |         86 |          0 |         39 |        125 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Controllers\PemasukanController.php                           | PHP        |         86 |          4 |         45 |        135 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Controllers\PendudukController.php                            | PHP        |         72 |          4 |         37 |        113 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Controllers\PengluaranController.php                          | PHP        |         84 |          4 |         40 |        128 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Controllers\PotensiController.php                             | PHP        |         59 |          3 |         41 |        103 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Controllers\ProductAjaxController.php                         | PHP        |         40 |         42 |         50 |        132 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Controllers\QuetesController.php                              | PHP        |         52 |          3 |         30 |         85 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Controllers\SejarahController.php                             | PHP        |         29 |          1 |         26 |         56 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Controllers\ServicesController.php                            | PHP        |         28 |         48 |         10 |         86 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Controllers\SliderControoler.php                              | PHP        |         57 |          3 |         35 |         95 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Controllers\StrukturdesaController.php                        | PHP        |         55 |          3 |         34 |         92 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Controllers\UserController.php                                | PHP        |         93 |          4 |         44 |        141 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Controllers\WebController.php                                 | PHP        |         66 |          3 |         32 |        101 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Kernel.php                                                    | PHP        |         49 |         27 |          9 |         85 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Middleware\Authenticate.php                                   | PHP        |         12 |          6 |          4 |         22 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Middleware\CekRole.php                                        | PHP        |         13 |          7 |          4 |         24 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Middleware\CheckForMaintenanceMode.php                        | PHP        |          8 |          6 |          4 |         18 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Middleware\EncryptCookies.php                                 | PHP        |          8 |          6 |          4 |         18 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Middleware\RedirectIfAuthenticated.php                        | PHP        |         15 |          8 |          5 |         28 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Middleware\TrimStrings.php                                    | PHP        |         10 |          5 |          4 |         19 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Middleware\TrustProxies.php                                   | PHP        |         14 |         10 |          5 |         29 |
| c:\Users\kukohfr\Desktop\webdesa\app\Http\Middleware\VerifyCsrfToken.php                                | PHP        |          9 |         11 |          5 |         25 |
| c:\Users\kukohfr\Desktop\webdesa\app\Imports\Ipenduduk.php                                              | PHP        |         22 |          6 |          5 |         33 |
| c:\Users\kukohfr\Desktop\webdesa\app\Imports\Pemasukann.php                                             | PHP        |         19 |          5 |          4 |         28 |
| c:\Users\kukohfr\Desktop\webdesa\app\Imports\Pengeluaran.php                                            | PHP        |         19 |          5 |          4 |         28 |
| c:\Users\kukohfr\Desktop\webdesa\app\KomentarBrita.php                                                  | PHP        |          8 |          0 |          5 |         13 |
| c:\Users\kukohfr\Desktop\webdesa\app\Pemasukan.php                                                      | PHP        |          8 |          0 |          4 |         12 |
| c:\Users\kukohfr\Desktop\webdesa\app\Penduduk.php                                                       | PHP        |          9 |          1 |          4 |         14 |
| c:\Users\kukohfr\Desktop\webdesa\app\Pengluaran.php                                                     | PHP        |          8 |          0 |          4 |         12 |
| c:\Users\kukohfr\Desktop\webdesa\app\Potensi.php                                                        | PHP        |          8 |          0 |          4 |         12 |
| c:\Users\kukohfr\Desktop\webdesa\app\Product.php                                                        | PHP        |          9 |          0 |         14 |         23 |
| c:\Users\kukohfr\Desktop\webdesa\app\Providers\AppServiceProvider.php                                   | PHP        |         12 |         12 |          5 |         29 |
| c:\Users\kukohfr\Desktop\webdesa\app\Providers\AuthServiceProvider.php                                  | PHP        |         13 |         12 |          6 |         31 |
| c:\Users\kukohfr\Desktop\webdesa\app\Providers\BroadcastServiceProvider.php                             | PHP        |         12 |          5 |          5 |         22 |
| c:\Users\kukohfr\Desktop\webdesa\app\Providers\EventServiceProvider.php                                 | PHP        |         18 |         11 |          6 |         35 |
| c:\Users\kukohfr\Desktop\webdesa\app\Providers\RouteServiceProvider.php                                 | PHP        |         31 |         38 |         12 |         81 |
| c:\Users\kukohfr\Desktop\webdesa\app\Quetes.php                                                         | PHP        |          8 |          0 |          4 |         12 |
| c:\Users\kukohfr\Desktop\webdesa\app\Services.php                                                       | PHP        |          6 |          1 |          4 |         11 |
| c:\Users\kukohfr\Desktop\webdesa\app\Slider.php                                                         | PHP        |          8 |          0 |          4 |         12 |
| c:\Users\kukohfr\Desktop\webdesa\app\Structurdesa.php                                                   | PHP        |          8 |          0 |          5 |         13 |
| c:\Users\kukohfr\Desktop\webdesa\app\User.php                                                           | PHP        |         23 |         15 |          7 |         45 |
| c:\Users\kukohfr\Desktop\webdesa\app\Webs.php                                                           | PHP        |          8 |          0 |          4 |         12 |
| c:\Users\kukohfr\Desktop\webdesa\bootstrap\app.php                                                      | PHP        |         17 |         30 |          9 |         56 |
| c:\Users\kukohfr\Desktop\webdesa\composer.json                                                          | JSON       |         69 |          0 |          1 |         70 |
| c:\Users\kukohfr\Desktop\webdesa\composer.lock                                                          | JSON       |      9,090 |          0 |          1 |      9,091 |
| c:\Users\kukohfr\Desktop\webdesa\config\app.php                                                         | PHP        |         85 |        120 |         31 |        236 |
| c:\Users\kukohfr\Desktop\webdesa\config\auth.php                                                        | PHP        |         33 |         70 |         15 |        118 |
| c:\Users\kukohfr\Desktop\webdesa\config\broadcasting.php                                                | PHP        |         26 |         22 |         12 |         60 |
| c:\Users\kukohfr\Desktop\webdesa\config\cache.php                                                       | PHP        |         52 |         34 |         18 |        104 |
| c:\Users\kukohfr\Desktop\webdesa\config\database.php                                                    | PHP        |         81 |         45 |         22 |        148 |
| c:\Users\kukohfr\Desktop\webdesa\config\excel.php                                                       | PHP        |         58 |        107 |         22 |        187 |
| c:\Users\kukohfr\Desktop\webdesa\config\filesystems.php                                                 | PHP        |         25 |         32 |         13 |         70 |
| c:\Users\kukohfr\Desktop\webdesa\config\hashing.php                                                     | PHP        |         12 |         32 |          9 |         53 |
| c:\Users\kukohfr\Desktop\webdesa\config\logging.php                                                     | PHP        |         64 |         24 |         17 |        105 |
| c:\Users\kukohfr\Desktop\webdesa\config\mail.php                                                        | PHP        |         21 |         93 |         23 |        137 |
| c:\Users\kukohfr\Desktop\webdesa\config\queue.php                                                       | PHP        |         42 |         32 |         15 |         89 |
| c:\Users\kukohfr\Desktop\webdesa\config\services.php                                                    | PHP        |         16 |         11 |          7 |         34 |
| c:\Users\kukohfr\Desktop\webdesa\config\session.php                                                     | PHP        |         22 |        145 |         33 |        200 |
| c:\Users\kukohfr\Desktop\webdesa\config\view.php                                                        | PHP        |         10 |         20 |          7 |         37 |
| c:\Users\kukohfr\Desktop\webdesa\database\factories\UserFactory.php                                     | PHP        |         13 |         11 |          5 |         29 |
| c:\Users\kukohfr\Desktop\webdesa\database\migrations\2014_10_12_000000_create_users_table.php           | PHP        |         23 |         10 |          4 |         37 |
| c:\Users\kukohfr\Desktop\webdesa\database\migrations\2014_10_12_100000_create_password_resets_table.php | PHP        |         19 |         10 |          4 |         33 |
| c:\Users\kukohfr\Desktop\webdesa\database\migrations\2019_08_19_000000_create_failed_jobs_table.php     | PHP        |         22 |         10 |          4 |         36 |
| c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_01_31_072035_create_products_table.php        | PHP        |         20 |         10 |          7 |         37 |
| c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_02_01_093929_create_table_brita_table.php     | PHP        |         23 |         10 |          4 |         37 |
| c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_02_01_103355_create_galery_table.php          | PHP        |         20 |         10 |          4 |         34 |
| c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_02_01_103528_create_potensi_desa_table.php    | PHP        |         23 |         10 |          4 |         37 |
| c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_02_01_103608_create_penduduk_table.php        | PHP        |         27 |         10 |          5 |         42 |
| c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_02_01_103713_create_dana_desa_table.php       | PHP        |         19 |         10 |          4 |         33 |
| c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_02_01_103755_create_structur_desa_table.php   | PHP        |         22 |         10 |          4 |         36 |
| c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_02_02_025500_create_pengluaran_dasa_table.php | PHP        |         23 |         10 |          4 |         37 |
| c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_02_02_025512_create_pemasukan_desa_table.php  | PHP        |         23 |         10 |          5 |         38 |
| c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_02_12_014910_create_komentar_brita_table.php  | PHP        |         21 |         10 |          4 |         35 |
| c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_02_12_032630_create_slider_table.php          | PHP        |         22 |         10 |          5 |         37 |
| c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_02_12_052124_create_web_setting_table.php     | PHP        |         26 |         10 |          5 |         41 |
| c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_02_13_000130_create_quetes_table.php          | PHP        |         21 |         10 |          5 |         36 |
| c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_04_15_003233_create_table_services.php        | PHP        |         21 |         10 |          5 |         36 |
| c:\Users\kukohfr\Desktop\webdesa\database\seeds\DatabaseSeeder.php                                      | PHP        |          8 |          6 |          3 |         17 |
| c:\Users\kukohfr\Desktop\webdesa\index.php                                                              | PHP        |          8 |          9 |          5 |         22 |
| c:\Users\kukohfr\Desktop\webdesa\package.json                                                           | JSON       |         21 |          0 |          1 |         22 |
| c:\Users\kukohfr\Desktop\webdesa\phpunit.xml                                                            | XML        |         36 |          0 |          2 |         38 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\css\app-rtl.css                                          | CSS        |      4,617 |         27 |        570 |      5,214 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\css\app-rtl.min.css                                      | CSS        |          2 |          6 |          1 |          9 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\css\app.css                                              | CSS        |      2,648 |         23 |        330 |      3,001 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\css\app.min.css                                          | CSS        |          2 |          6 |          1 |          9 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\css\bootstrap.css                                        | CSS        |      8,062 |         15 |        945 |      9,022 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\css\bootstrap.min.css                                    | CSS        |          2 |          5 |          1 |          8 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\css\icons.css                                            | CSS        |     13,191 |        139 |      6,476 |     19,806 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\css\icons.min.css                                        | CSS        |          2 |         14 |          1 |         17 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\data\ajax_children.json                                  | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\data\ajax_roots.json                                     | JSON       |          8 |          0 |          0 |          8 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\fonts\Simple-Line-Icons.svg                              | XML        |        200 |          0 |          1 |        201 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\fonts\dripicons-v2.svg                                   | XML        |        209 |          0 |          2 |        211 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\fonts\dropify.svg                                        | XML        |         13 |          0 |          0 |         13 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\fonts\fa-brands-400.svg                                  | XML        |      3,296 |          4 |          1 |      3,301 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\fonts\fa-regular-400.svg                                 | XML        |        799 |          4 |          1 |        804 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\fonts\fa-solid-900.svg                                   | XML        |      4,516 |          4 |          1 |      4,521 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\fonts\feather.svg                                        | XML        |        295 |          3 |        552 |        850 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\fonts\footable.svg                                       | XML        |         78 |          0 |          0 |         78 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\fonts\line-awesome.svg                                   | XML        |      2,624 |          3 |          2 |      2,629 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\fonts\materialdesignicons-webfont.svg                    | XML        |     11,097 |          0 |          1 |     11,098 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\js\app.js                                                | JavaScript |        203 |         44 |         40 |        287 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\js\app.min.js                                            | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\js\jquery.validate.js                                    | JavaScript |      1,222 |        187 |        241 |      1,650 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\calendar.init.js                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\chartist.init.js                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\chartjs.init.js                                 | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\dashboard.init.js                               | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\datatables.init.js                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\flot.init.js                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\form-advanced.init.js                           | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\form-summernote.init.js                         | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\form-validation.init.js                         | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\form-wizard.init.js                             | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\google-maps.init.js                             | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\jqvector-maps.init.js                           | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\range-sliders.init.js                           | JavaScript |          1 |          0 |          0 |          1 |
